Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]
ungipaghaatanga	ungipaghagh-~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-aq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-ate[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-ate[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-ate[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-ate[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-agh[N→V]-–ghte[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
