Taghnughhaq qapragllequq aqumgamakuni.

taghnughhaq	taghnughhagh*[N][Abs][Unpd][Sg]
naghaaghaqut	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-:aghagh*[N→N]-~–ke[N→V][V][Intr][Ind][3Pl]
naghaaghaqut	naghaagh-~(g₁)aqe[V→V][V][Intr][Ind][3Pl]
naghaaghaqut	naghaagh-aq[V→N]-~–ke[N→V][V][Intr][Ind][3Pl]

eslami	esla[N][Abs][Unpd][Sg]-mi[Encl]
eslami	esla[N][Loc][Unpd][Sg]
eslami	esla[N][Rel][4SgPoss][PlPosd]
eslami	esla[N][Rel][4SgPoss][SgPosd]

anuqlighngaan	anuqligh-––i[N→V][V][Intr][Conc][3Sg]
anuqlighngaan	anuqligh-––igh[N→V][V][Intr][Conc][3Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V]-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-––igh[N→V]-~fnga[V→V][V][Trns][Ind][2Sg][3Sg]
anuqlighngaan	anuqligh[V][Intr][Conc][3Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anuqlighngaan	anuqligh-~fnga[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
