Allakaghmeng aanumalghiit mangteghameng.

allakaghmeng	allakagh*[Quant_Qual][4Pl]
avaqutami	avaqutagh[N][Rel][4SgPoss][SgPosd]
avaqutami	ava-qe[N→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]-mi[Encl]
avaqutami	ava-qe[N→V]-@₁~:(u)ta[V→N][N][Loc][Unpd][Sg]
avaqutami	ava-qe[N→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][PlPosd]
avaqutami	ava-qe[N→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][SgPosd]
avaqutami	ava-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]-mi[Encl]
avaqutami	ava-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Loc][Unpd][Sg]
avaqutami	ava-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][PlPosd]
avaqutami	ava-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][SgPosd]
avaqutami	ava-qe[N→V]-~:(u)ta[V→N][N][Abs][Unpd][Sg]-mi[Encl]
avaqutami	ava-qe[N→V]-~:(u)ta[V→N][N][Loc][Unpd][Sg]
avaqutami	ava-qe[N→V]-~:(u)ta[V→N][N][Rel][4SgPoss][PlPosd]
avaqutami	ava-qe[N→V]-~:(u)ta[V→N][N][Rel][4SgPoss][SgPosd]
avaqutami	ava-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]-mi[Encl]
avaqutami	ava-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Loc][Unpd][Sg]
avaqutami	ava-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][PlPosd]
avaqutami	ava-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][SgPosd]
avaqutami	ava-qu[N→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]-mi[Encl]
avaqutami	ava-qu[N→V]-@₁~:(u)ta[V→N][N][Loc][Unpd][Sg]
avaqutami	ava-qu[N→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][PlPosd]
avaqutami	ava-qu[N→V]-@₁~:(u)ta[V→N][N][Rel][4SgPoss][SgPosd]
avaqutami	ava-qu[N→V]-~:(u)ta[V→N][N][Abs][Unpd][Sg]-mi[Encl]
avaqutami	ava-qu[N→V]-~:(u)ta[V→N][N][Loc][Unpd][Sg]
avaqutami	ava-qu[N→V]-~:(u)ta[V→N][N][Rel][4SgPoss][PlPosd]
avaqutami	ava-qu[N→V]-~:(u)ta[V→N][N][Rel][4SgPoss][SgPosd]

mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]-ete[to.be][V][Intr][Ind][3Sg]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]-tuq[Encl]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]-ete[to.be][V][Intr][Ind][3Sg]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]-tuq[Encl]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite[N→V][V][Intr][Ind][3Sg]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ind][3Sg]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]-ete[to.be][V][Intr][Ind][3Sg]
mangteghaanituq	mangteghagh-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]-tuq[Encl]
