Iiska mekestaaghhaaguq.
gguteghllalguut	ggute-–ghllak[N→N]-–lgu[N→V][V][Intr][Ind][3Pl]

------------------------
Gguutka seghleghuuq.

gguutka	ggute-~–ke[N→V][V][Intr][Intrg][3Sg]
gguutka	ggute-~–ke[N→N][N][Abs][Unpd][Sg]
gguutka	ggute[N][Abs][1SgPoss][SgPosd]

seghleghuuq	seghlegh-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]
seghleghuuq	seghleghu[V][Intr][Ind][3Sg]

------------------------
Qiighwenka taakut.

qiighwenka	qiighw[N][Abs][1SgPoss][PlPosd]

taakut	taake[V][Intr][Ind][3Pl]

------------------------
Nengyuqa pinightuq.

nengyuqa	ne-–nge[N→V]-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-qa[Encl]
nengyuqa	ne-–nge[N→V]-@₁~f–yu[V→N]-qe[N→V][V][Intr][Intrg][3Sg]
nengyuqa	ne-–nge[N→V]-@₁~f–yu[V→N]-qe[N→N][N][Abs][Unpd][Sg]
nengyuqa	nenge-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-qa[Encl]
nengyuqa	nenge-@₁~f–yu[V→N]-qe[N→V][V][Intr][Intrg][3Sg]
nengyuqa	nenge-@₁~f–yu[V→N]-qe[N→N][N][Abs][Unpd][Sg]
nengyuqa	nengte-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-qa[Encl]
nengyuqa	nengte-@₁~f–yu[V→N]-qe[N→V][V][Intr][Intrg][3Sg]
nengyuqa	nengte-@₁~f–yu[V→N]-qe[N→N][N][Abs][Unpd][Sg]
nengyuqa	nengyugh-~–ke[N→V][V][Intr][Intrg][3Sg]
nengyuqa	nengyugh-~–ke[N→N][N][Abs][Unpd][Sg]
nengyuqa	nengyugh[N][Abs][1SgPoss][SgPosd]

pinightuq	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁~:(u)n[V→N]-–ghte[N→V][V][Intr][Ind][3Sg]
pinightuq	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–ghte[V→V][V][Intr][Ind][3Sg]
pinightuq	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁~:(u)n[V→N]-–ghte[N→V][V][Intr][Ind][3Sg]
pinightuq	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–ghte[V→V][V][Intr][Ind][3Sg]
pinightuq	pi-@₁~:(u)n[V→N]-~:(ng₁)igh[N→V]-–ghte[V→V][V][Intr][Ind][3Sg]
pinightuq	pi-@₁~:(u)n[V→N]-~:(ng₁)igh[N→V][V][Intr][Ind][3Sg]
