AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]
inglukulluki	inglu-~–ke[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Pl]
inglukulluki	inglu-~–ke[N→V]-~:(u)te[V→N]-te[N→V][V][Trns][Sbrd][_][3Pl]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Pl]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N]-–lluk[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][3SgPoss][PlPosd]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][3Pl]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-~–ke[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
inglukulluki	inglu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][3SgPoss][PlPosd]

ayuqluki	ayuqe-te[V→V][V][Trns][Sbrd][_][3Pl]
ayuqluki	ayuqe[V][Trns][Sbrd][_][3Pl]

piiqegkangit	pi-ugh[V→V]-––iqe[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3PlPoss][PlPosd]
piiqegkangit	pi-ugh[V→V]-––iqe[V→V][V][Trns][Ptcp][3Du][3Sg]
