AATKAM KAKILLGHA, ATUQELLGHA NEGHIGHLUKU

aatkam	aatkagh[N][Rel][Unpd][Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-–tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-–tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-–tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)u[V→V]-tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	legh-––igh[N→V]-~:(ng₁)ite[V→V][V][Intr][Ind][1Sg]
liitunga	legh-––igh[N→V]-~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	liite-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	liite[V][Intr][Ind][1Sg]
liitunga	laag-––i[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	laag-––i[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	laag-––i[N→V]-@₁~:(u)n[V→N]-–tu[N→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	laag-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	laag-––i[N→V]-~:(u)te[V→V][V][Intr][Ind][1Sg]
liitunga	laag-––i[N→V]-–tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	laag-––i[N→V]-–tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	laag-––i[N→V]-–tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	laag-––i[N→V]-te[V→V][V][Intr][Ind][1Sg]
liitunga	laag-––i[N→V]-tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liitunga	laag-––i[N→V]-tu[V→V]-~fnga[V→V][V][Intr][Opt][PRS][2Sg]
liitunga	laag-––i[N→V]-tu[V→V][V][Trns][Opt][PRS][2Sg][1Sg]
liitunga	laag-––igh[N→V]-–tu[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
