Sulpik Naapleghhii Kaviighmeng

naapleghhii	naapte-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	siigh-––igh[N→V]-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sii-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sii-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sii-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-aq[V→N]-––igh[N→V]-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-––i[N→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-––i[N→V]-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-––i[N→V]-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-––igh[N→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-––igh[N→V]-–fqagh[V→V]-~–qagh[V→V]-~:(ng₁)u[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-––igh[N→V]-–fqagh[V→V]-~sf–(g₃)kau[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
siifqaqaalghii	sa-~i[V→V]-–fqagh[V→V]-@₁~–(g₁)kaa[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
