Yupigem Homonym-ngi

yupigem	Yupig[N][Rel][Unpd][Sg]
naghaaghutet	naghaagh-~:(u)te[V→N][N][Rel][Unpd][Pl]

ulimaaghet	ulimaagh[N][Abs][Unpd][Pl]
ulimaaghet	ulimaagh[N][Rel][Unpd][Pl]

qikmit	qikmigh[N][Abs][Unpd][Pl]
qikmit	qikmigh[N][Rel][Unpd][Pl]

------------------------
"Ighneghma qikmighwaagha naasqwighaghsimaaq."

ighneghma	ighnegh[N][Rel][1SgPoss][SgPosd]
ighneghma	ighnegh[N][Rel][1SgPoss][PlPosd]

qikmighwaagha	qikmighwaagh[N][Abs][3SgPoss][SgPosd]

------------------------
