Sikughaaghenkut, Kaviighhaankut, Meteghllugllagenkut 

sikughaaghenkut	sikughaagh-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]
umiilgitnun	umeg-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umiileg[N][Ter][3DuPoss][PlPosd]
umiilgitnun	umiileg[N][Ter][3DuPoss][DuPosd]
umiilgitnun	umiileg[N][Ter][3PlPoss][PlPosd]
umiilgitnun	umiileg[N][Ter][3PlPoss][SgPosd]
umiilgitnun	umiileg[N][Ter][3PlPoss][DuPosd]
umiilgitnun	umu-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umu-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umu-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umu-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umu-aq[V→N]-––i[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umu-~i[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umu-~i[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umu-~i[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umu-~i[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umu-~i[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]

------------------------
Akmagtaghhani akmakluku igleghsimalghii.

akmagtaghhani	akmag-(s)ta[V→N]-–ghhagh*[N→N][N][Abs][4SgPoss][SgPosd]
akmagtaghhani	akmag-(s)ta[V→N]-–ghhagh*[N→N][N][Abs][4SgPoss][PlPosd]
akmagtaghhani	akmagtagh-–ghhagh*[N→N][N][Abs][4SgPoss][SgPosd]
akmagtaghhani	akmagtagh-–ghhagh*[N→N][N][Abs][4SgPoss][PlPosd]
akmagtaghhani	akmag-taq[N→N]-–ghhagh*[N→N][N][Abs][4SgPoss][SgPosd]
akmagtaghhani	akmag-taq[N→N]-–ghhagh*[N→N][N][Abs][4SgPoss][PlPosd]
akmagtaghhani	akmag-ta[N→N]-–ghhagh*[N→N][N][Abs][4SgPoss][SgPosd]
akmagtaghhani	akmag-ta[N→N]-–ghhagh*[N→N][N][Abs][4SgPoss][PlPosd]

akmakluku	akmag-~–ke[N→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
akmakluku	akmag-~–ke[N→N]-te[N→V][V][Trns][Sbrd][_][3Sg]
akmakluku	akmag-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V][V][Trns][Sbrd][_][3Sg]
akmakluku	akmag-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V][V][Trns][Sbrd][_][3Sg]

igleghsimalghii	igleghte-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
igleghsimalghii	igleghte-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------


------------------------
Kaasalghiimi Sikughaaghet umiilgita nenglunganun, imani saaygungan amiga kagpestaaghhaaguq.

kaasalghiimi	kaate-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]-mi[Encl]
kaasalghiimi	kaate-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Loc][Unpd][Sg]
kaasalghiimi	kaate-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][PlPosd]
kaasalghiimi	kaate-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][4SgPoss][SgPosd]
kaasalghiimi	kaate[V][Intr][Ptcp_Obl][4Sg]

sikughaaghet	sikughaagh[N][Abs][Unpd][Pl]
sikughaaghet	sikughaagh[N][Rel][Unpd][Pl]

umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][PlPosd]
umiilgita	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Rel][3PlPoss][SgPosd]
umiilgita	umeg-––i[N→V]-aq[V→N]-–leg[N→N]-~:(ng₁)ite[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-aq[V→N]-–leg[N→N]-~:(ng₁)ite**[N→V][V][Intr][Intrg][3Sg]
umiilgita	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Abs][3SgPoss][PlPosd]-ta[Encl]
umiilgita	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Rel][3DuPoss][PlPosd]
umiilgita	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Rel][3DuPoss][SgPosd]
