Vuvallanga Ayapeghyugem (1)

------------------------
(1) Ayapeghyugnguq taana Avatmiit pikaat, Walangankut Kepelgunkut saknaaghat.

ayapeghyugnguq	ayapegh-@₁~fyug[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

avatmiit	Avate-~fmii[N→N][N][Abs][Unpd][Pl]
avatmiit	Avate-~fmii[N→N][N][Rel][Unpd][Pl]
avatmiit	Avatmii(t)[N][Abs][Unpd][Pl]
avatmiit	Avatmii(t)[N][Rel][Unpd][Pl]

------------------------


	

------------------------
Vuvallam sanqutangi sivuliq qalik, signeghet, qaltaghwaaghek, aghqusighhaak tughneghaghnun, saguyak, tagnelghii nanighhaq kumangalghii.

vuvallam	vuvalla[N][Rel][Unpd][Sg]
unanguluku	unange-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
unanguluku	unange-te[V→V]-@₁~:(u)n[V→N]-–luk[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]

pingayumi	pi-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-mi[Encl]
pingayumi	pi-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Loc][Unpd][Sg]
pingayumi	pi-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][PlPosd]
pingayumi	pi-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][SgPosd]
pingayumi	pi-~fnga[V→V]-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-mi[Encl]
pingayumi	pi-~fnga[V→V]-@₁~f–yu[V→N][N][Loc][Unpd][Sg]
pingayumi	pi-~fnga[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][PlPosd]
pingayumi	pi-~fnga[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][SgPosd]
pingayumi	pi-~fnga[V→V]-~:(u)te[V→V]-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-mi[Encl]
pingayumi	pi-~fnga[V→V]-~:(u)te[V→V]-@₁~f–yu[V→N][N][Loc][Unpd][Sg]
pingayumi	pi-~fnga[V→V]-~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][PlPosd]
pingayumi	pi-~fnga[V→V]-~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][SgPosd]
pingayumi	pi-–ngagh[V→V]-@₁~f–yu[V→N][N][Abs][Unpd][Sg]-mi[Encl]
pingayumi	pi-–ngagh[V→V]-@₁~f–yu[V→N][N][Loc][Unpd][Sg]
pingayumi	pi-–ngagh[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][PlPosd]
pingayumi	pi-–ngagh[V→V]-@₁~f–yu[V→N][N][Rel][4SgPoss][SgPosd]

kellaagegni	kellaag[N][Abs][4SgPoss][DuPosd]
kellaagegni	kellaag[N][Loc][Unpd][Du]
kellaagegni	kellaageg[N][Loc][Unpd][Pl]
kellaagegni	kellaageg-ni[N→N][N][Abs][Unpd][Sg]

nekegtaqaat	ne-~–kegte[N→V]-~(g₁)aqe[V→V][V][Trns][Ind][3Pl][3Sg]
