Siingvallagha

siingvallagha	siingvallagha[V][Intr][Opt][PRS][2Sg]
naani	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	naa[N][Abs][4SgPoss][SgPosd]
naani	naa[N][Abs][4SgPoss][PlPosd]
naani	naa[N][Loc][Unpd][Pl]
naani	naa-ni[N→N][N][Abs][Unpd][Sg]
naani	na-aq[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-aq[V→N][N][Abs][4SgPoss][PlPosd]

pii	pi-aq[V→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
pii	pi-––i[N→V][V][Intr][Opt][PRS][2Sg]
pii	pi-~i[V→V][V][Intr][Opt][PRS][2Sg]
pii	piigh-––i[N→V][V][Intr][Opt][PRS][2Sg]
pii	pi[V][Intr][Intrg][3Sg]
pii	pi[V][Trns][Ind][3Sg][3Sg]
pii	pi[V][Trns][Ind][3Sg][3Pl]
pii	paaw-––i[N→V][V][Intr][Opt][PRS][2Sg]

------------------------
"Aa-A, piLLEQUNGA!"

pillequnga	pi-@₁~:(u)te[V→V]-@₁lleqe[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-@₁~:(u)te[V→V]-@₁lleqe[V→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-@₁~:(u)te[V→V]-@₁lleqe[V→V][V][Intr][Ind][1Sg]
pillequnga	pi-te[N→V]-@₁lleqe[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-te[N→V]-@₁lleqe[V→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-te[N→V]-@₁lleqe[V→V][V][Intr][Ind][1Sg]
pillequnga	pi-te[V→V]-@₁lleqe[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-te[V→V]-@₁lleqe[V→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-te[V→V]-@₁lleqe[V→V][V][Intr][Ind][1Sg]
pillequnga	pi-~:(u)te[V→V]-@₁lleqe[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-~:(u)te[V→V]-@₁lleqe[V→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-~:(u)te[V→V]-@₁lleqe[V→V][V][Intr][Ind][1Sg]
pillequnga	pi-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V]-te[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pillequnga	pi-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V][V][Intr][Ind][1Sg]
